title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count
Event Horizon,1997-08-15,96,60000000,26673242,29.787135,6.5,
Meet Dave,2008-07-08,90,60000000,50650079,18.676291,5,
Inkheart,2008-12-11,,60000000,57490374,27.018886,6,
Beyond Borders,2003-10-23,127,35000000,0,6.523472,6.7,
The Great Raid,2005-08-12,132,80000000,10166502,8.923215,6.8,
Holy Man,1998-10-08,114,60000000,0,9.265672,4.9,
American Sniper,2014-12-11,133,58800000,542307423,87.53437,7.4,
Goosebumps,2015-08-05,103,58000000,158162788,45.351617,6.2,
Just Like Heaven,2005-09-16,95,58000000,102854431,13.43573,6.5,
The Flintstones in Viva Rock Vegas,2000-04-28,90,83000000,59468275,6.248309,4.4,
Leatherheads,2008-03-24,114,58000000,41299492,7.739276,5.7,
The Ridiculous 6,2015-12-11,119,60000000,0,19.694695,4.9,
Red Tails,2012-01-19,125,58000000,50365377,12.29603,5.9,
The Devil's Advocate,1997-10-17,144,57000000,152944660,33.8473,7.2,
DragonHeart,1996-05-31,103,57000000,115267375,31.791979,6.4,
Walking Tall,2004-04-02,86,56000000,57223890,23.438398,6,
Forrest Gump,1994-07-06,142,55000000,677945399,138.133331,8.2,
Alvin and the Chipmunks,2007-12-13,92,60000000,361366633,47.336034,5.5,
Meet the Parents,2000-10-06,108,55000000,330444045,29.97224,6.6,
Superman,1978-12-13,143,55000000,300218018,48.507081,6.9,
George of the Jungle,1997-07-15,92,55000000,0,22.573237,5.4,
Casper,1995-05-26,100,50000000,287928194,19.830132,6,
Flightplan,2005-09-22,98,55000000,223387299,32.05145,6.1,
City of Angels,1998-04-10,114,55000000,198685114,21.272734,6.4,
Bowfinger,1999-08-12,97,55000000,0,13.191829,6,
Tango & Cash,1989-12-22,104,55000000,63408614,22.787667,6.1,
Shanghai Noon,2000-05-26,110,55000000,56932305,25.400935,6.2,
Evita,1996-12-14,134,55000000,141047179,7.027139,5.9,
Stuck on You,2003-12-10,118,55000000,33828318,8.802525,5.1,
Semi-Pro,2008-02-28,91,0,33472850,10.449975,5.4,
The Fan,1996-08-15,116,55000000,18626419,4.366488,5.7,
The Phantom of the Opera,2004-12-08,143,70000000,154648887,18.927463,7,
Æon Flux,2005-11-30,93,62000000,52304001,29.954302,5.4,
Gods and Generals,2003-02-21,214,56000000,12923936,4.362535,6.1,
Turbulence,1997-01-09,100,55000000,11466088,4.700024,5.2,
Imagine That,2009-06-19,107,55000000,0,12.340384,5.7,
Burlesque,2010-11-23,119,55000000,89519773,22.863516,6.9,
A Very Long Engagement,2004-10-26,133,47000000,0,23.05451,7.1,
Lolita,1962-06-13,153,2000000,9250000,23.962109,7.3,
Blade II,2002-03-22,117,54000000,155010032,67.169587,6.2,
Bullet to the Head,2013-01-31,92,55000000,9489829,22.503935,5.2,
The Godfather: Part III,1990-12-24,162,54000000,136766062,59.194915,7.1,
Superman II,1980-12-04,127,54000000,190458706,30.515175,6.5,
Gigli,2003-08-01,121,54000000,7266209,9.053456,3.5,
Shaft,2000-06-15,99,46000000,107196498,19.643365,5.5,
Anastasia,1997-11-20,94,53000000,139804348,45.565918,7.4,
Moulin Rouge!,2001-03-09,127,52500000,179213434,57.374341,7.4,
Black Mass,2015-09-04,122,53000000,98837872,46.049902,6.3,
Flags of Our Fathers,2006-10-18,132,90000000,65900249,23.9366,6.7,
Law Abiding Citizen,2009-10-15,109,53000000,126690726,49.593978,7.2,
Lucky You,2007-05-01,124,0,5761917,6.162872,5.4,
Catch Me If You Can,2002-12-25,141,52000000,352114312,73.944049,7.7,
Zero Dark Thirty,2012-12-19,157,40000000,132820716,38.306954,6.7,
Casino,1995-11-22,178,52000000,116112375,40.06688,7.8,
Barnyard,2006-08-04,90,51000000,72779000,10.430832,5.3,
Jerry Maguire,1996-12-06,139,50000000,273552592,27.039636,6.7,
Erin Brockovich,2000-03-17,131,52000000,256271286,30.347332,7.1,
How to Lose a Guy in 10 Days,2003-02-07,116,50000000,177371441,23.854701,6.3,
Yes Man,2008-12-09,104,70000000,225990978,43.849351,6.4,
Central Intelligence,2016-06-15,107,50000000,216972543,45.318703,6.2,
Stepmom,1998-12-25,124,0,0,16.368283,6.9,
Daddy's Home,2015-12-25,96,50000000,242786137,38.616744,5.8,
Inside Man,2006-03-23,129,45000000,184376254,45.220386,7.3,
Payback,1999-02-05,100,90000000,161626121,17.457947,6.7,
We Bought a Zoo,2011-12-22,124,50000000,120081841,38.629763,6.5,
Failure to Launch,2006-03-10,97,50000000,88715192,18.806031,5.5,
Christmas with the Kranks,2004-11-24,99,60000000,0,9.225166,5.2,
Outbreak,1995-03-10,127,50000000,189859560,30.397496,6.3,
Non-Stop,2014-01-26,106,50000000,222809600,83.295796,6.8,
Shanghai Knights,2003-02-06,115,50000000,88323487,16.251204,6,
Curious George,2006-02-10,86,50000000,69834815,9.894346,6.2,
Herbie Fully Loaded,2005-06-22,101,50000000,66002004,12.050755,5.1,
Don't Say a Word,2001-09-28,113,50000000,100020092,11.596207,6,
I Am Number Four,2011-02-18,109,50000000,144492830,43.450266,5.9,
Firewall,2006-02-10,105,45000000,82800000,18.186026,5.6,
Absolute Power,1997-02-14,121,50000000,50068310,13.576765,6.4,
G.I. Jane,1997-08-22,125,50000000,48169156,19.434672,6,
American Reunion,2012-04-04,113,50000000,234989584,39.920035,6.1,
The Negotiator,1998-07-29,140,50000000,44547681,28.725621,6.8,
Into the Storm,2014-08-06,89,50000000,160602194,20.566554,5.8,
Gremlins 2: The New Batch,1990-06-15,106,50000000,41482207,33.98637,6.2,
Bridget Jones: The Edge of Reason,2004-11-10,108,50000000,40203020,28.803802,6.1,
Out of Time,2003-10-03,105,50000000,55495563,14.993459,6.1,
The Beach,2000-02-11,119,40000000,144056873,41.362082,6.3,
Hereafter,2010-10-15,129,50000000,105197635,13.365715,5.8,
Murder by Numbers,2002-04-19,120,50000000,56714147,16.167093,6,
Hannibal Rising,2007-02-06,121,50000000,82169884,6.567065,6,
The Story of Us,1999-10-13,95,50000000,58900031,6.22577,5.9,
Basic,2003-04-18,98,50000000,42792561,19.226763,6.2,
Blood Work,2002-08-04,110,50000000,26199517,10.089065,6.1,
Escape from L.A.,1996-08-09,97,50000000,42277365,21.637234,5.6,
The Life Aquatic with Steve Zissou,2004-12-10,119,50000000,34808403,25.237969,7.1,
Free State of Jones,2016-06-24,139,50000000,25035950,21.589393,6.6,
Man of the House,2005-02-25,100,40000000,0,6.004422,5.4,
Eastern Promises,2007-09-14,100,51500000,55112356,35.481169,7.2,
The Messenger: The Story of Joan of Arc,1999-10-18,148,60000000,66976317,21.084542,6.2,
Your Highness,2011-04-08,102,49900000,26121638,21.408222,5.2,
Jade,1995-10-13,95,50000000,9851610,8.189406,5.2,
Gamer,2009-09-03,95,50000000,40828540,27.631262,5.6,
Beautiful Creatures,2013-02-13,124,60000000,60052138,40.721373,5.6,
Zoolander 2,2016-02-06,100,50000000,55969000,37.253774,4.7,
The Big Bounce,2004-01-30,88,50000000,6808550,6.397388,5,
What Planet Are You From?,2000-03-03,105,60000000,0,2.275331,5.4,
Drive Angry,2011-02-24,105,50000000,28931401,30.387148,5.3,
Street Fighter: The Legend of Chun-Li,2009-02-27,97,50000000,12764201,8.139676,3.9,
The One,2001-11-02,87,49000000,72700000,21.746245,5.7,
Indiana Jones and the Last Crusade,1989-05-24,127,48000000,474171806,80.972475,7.6,
Chappie,2015-03-04,120,49000000,104399548,116.700319,6.6,
The Bone Collector,1999-11-04,118,73000000,151493655,33.884459,6.5,
Panic Room,2002-03-29,111,48000000,196397415,53.043124,6.5,
Child 44,2015-03-15,137,50000000,3324330,40.371098,6.1,
Rat Race,2001-07-30,112,48000000,85498534,18.60049,6,
K-PAX,2001-10-22,120,48000000,50315140,30.920075,7.1,
Kate & Leopold,2001-12-25,118,0,0,11.940711,6,
Bedazzled,2000-10-19,93,48000000,90383208,19.348007,5.6,
The Cotton Club,1984-12-14,127,58000000,25928721,8.59075,6.6,
3:10 to Yuma,2007-09-06,122,55000000,70016220,48.801089,6.9,
The Cable Guy,1996-06-10,96,47000000,102825796,19.525659,5.7,
Earth,1998-09-16,101,0,528972,1.246883,6.6,
Dick Tracy,1990-06-15,103,47000000,103738726,7.859226,5.9,
Happily N'Ever After,2006-09-14,75,47000000,38085778,10.410933,4.6,
My Best Friend's Wedding,1997-06-19,105,38000000,299288605,15.401855,6.3,
Courage Under Fire,1996-07-04,117,46000000,100860818,12.971122,6.2,
Liar Liar,1997-03-21,86,45000000,181000000,26.721386,6.4,
Taken 2,2012-09-27,91,45000000,376141306,49.353524,6.1,
The Pelican Brief,1993-12-16,141,45000000,195268056,17.923254,6.3,
The Bucket List,2007-12-25,97,45000000,175372502,31.305336,7,
Patriot Games,1992-06-04,117,45000000,178051587,19.637704,6.3,
Galaxy Quest,1999-12-23,102,45000000,90683916,30.816341,6.9,
Scary Movie 2,2001-07-04,83,45000000,141220678,35.376971,5.4,
The Muppets,2011-11-22,103,45000000,165184237,17.047276,6.5,
Coach Carter,2005-01-14,136,30000000,76669806,23.234651,7.3,
Changing Lanes,2002-04-07,89,45000000,94935764,17.270539,5.9,
Anaconda,1997-04-11,89,45000000,136885767,27.684779,4.7,
Coyote Ugly,2000-07-30,100,45000000,113916474,26.79781,5.8,
A Bug's Life,1998-11-25,95,120000000,363258859,87.350802,6.8,
From Hell,2001-10-19,122,35000000,74558115,26.134678,6.6,
Tin Cup,1996-08-16,135,45000000,53854588,10.731574,5.9,
Fat Albert,2004-12-12,93,0,0,7.157635,4.3,
Resident Evil: Extinction,2007-09-20,94,45000000,148412065,12.06538,6.1,
Blended,2014-05-21,117,40000000,123494610,44.120328,6.6,
The River Wild,1994-09-30,111,45000000,0,12.362876,6.1,
The Indian in the Cupboard,1995-07-14,96,45000000,0,11.095914,5.9,
The Ant Bully,2006-07-27,88,50000000,55181129,20.239061,5.5,
Dune,1984-12-14,137,40000000,30925690,25.876582,6.5,
Revolutionary Road,2008-12-19,119,35000000,75225693,20.360549,6.7,
The Producers,2005-12-25,134,45000000,38058335,6.803965,6.1,
The Phantom,1996-06-06,100,45000000,17300889,9.025236,4.7,
All the Pretty Horses,2000-12-11,117,57000000,0,7.524671,5.8,
Miracle at St. Anna,2008-09-15,160,45000000,9323833,11.387408,6.3,
Big Trouble,2002-04-05,85,40000000,8493890,5.201688,6.3,
Shadow Conspiracy,1997-01-31,103,45000000,2154540,3.848893,4,
Foodfight!,2012-06-15,87,65000000,73706,5.258726,2.3,
Argo,2012-10-11,120,44500000,232324128,62.01056,7.1,
Sleepers,1996-10-18,147,44000000,165615285,16.245068,7.3,
Heaven's Gate,1980-11-19,219,44000000,3484331,5.380124,6.4,
Finding Forrester,2000-12-21,136,43000000,80049764,19.043286,7,
28 Days,2000-04-06,103,43000000,0,5.418921,6,
Unleashed,2005-02-02,103,45000000,50871113,25.999888,6.6,
The Sweetest Thing,2002-04-12,84,43000000,68696770,18.65632,5.3,
Notting Hill,1999-05-13,124,42000000,363889678,28.969151,7,
Boomerang,1992-06-30,117,40000000,70100000,6.420434,5.4,
The Mothman Prophecies,2002-01-25,119,32000000,55157539,14.733513,6.1,
Licence to Kill,1989-07-07,133,32000000,156167015,28.22119,5.9,
One for the Money,2012-01-26,91,40000000,36893721,19.438503,5.3,
The Warrior's Way,2010-12-02,100,42000000,11087569,7.349497,6.3,
8 Mile,2002-11-08,110,41000000,215000000,32.798571,6.8,
The Medallion,2003-08-15,88,41000000,0,14.653718,5.3,
The Big Year,2011-10-13,100,41000000,7448385,9.419726,5.6,
American Hustle,2013-12-12,138,40000000,251171807,49.664128,6.8,
Double Jeopardy,1999-09-24,105,70000000,177841558,19.439386,6.2,
Back to the Future Part II,1989-11-20,108,40000000,332000000,43.345252,7.4,
Lucy,2014-07-14,89,40000000,126546825,115.241998,6.3,
A Time to Kill,1996-07-24,149,40000000,152266007,25.219805,7,
Cheaper by the Dozen,2003-12-24,98,40000000,190212113,26.516624,6,
A League of Their Own,1992-07-01,128,40000000,107458785,21.661028,6.7,
The Conjuring 2,2016-05-13,134,40000000,320170008,68.794673,7,
He's Just Not That Into You,2009-02-06,129,40000000,177259441,26.253357,6.2,
Get Hard,2015-03-26,100,40000000,111811453,36.301202,5.9,
Julie & Julia,2009-08-06,123,40000000,129540499,22.853006,6.6,
42,2013-04-12,128,40000000,95020213,31.884559,6.8,
Dumb and Dumber To,2014-11-12,110,40000000,169837010,67.767785,5.4,
Eight Below,2006-02-17,120,40000000,120455994,24.287306,6.7,
Sin City,2005-04-01,124,40000000,158733820,66.003433,7.2,
JFK,1991-12-20,189,40000000,205405498,26.82041,7.5,
The Mexican,2001-03-01,123,57000000,147845033,21.021809,5.8,
17 Again,2009-03-11,102,20000000,136267476,52.571674,6.1,
The Final Destination,2009-08-26,82,40000000,186167139,32.478077,5.4,
Get Him to the Greek,2010-06-04,109,40000000,90029656,17.869443,5.9,
Shall We Dance?,2004-10-15,107,50000000,170128460,14.231899,5.9,
Small Soldiers,1998-07-10,110,40000000,54682547,23.088571,6.2,
The Count of Monte Cristo,2002-01-23,131,35000000,75395048,26.595983,7.3,
The Lincoln Lawyer,2011-03-17,119,40000000,85412898,26.072228,7,
Unknown,2011-02-16,113,30000000,130786397,38.643914,6.5,
The Prestige,2006-10-19,130,40000000,109676311,74.440708,8,
Escape from Planet Earth,2013-02-14,89,40000000,74597643,18.14218,5.7,
Apocalypto,2006-12-07,139,40000000,120175290,41.570047,7.3,
Legal Eagles,1986-06-18,116,0,0,7.519433,5.8,
Secret Window,2004-03-12,96,40000000,92913171,32.908414,6.4,
The Lake House,2006-06-16,99,40000000,114830111,29.88736,6.5,
The Odd Life of Timothy Green,2012-08-15,105,0,51854875,16.394452,6.5,
Made of Honor,2008-05-02,101,40000000,84601681,19.574774,6,
The Rainmaker,1997-11-18,135,40000000,45916769,12.229516,6.7,
Amistad,1997-12-03,155,36000000,74000000,3.698276,6.8,
Medicine Man,1992-02-07,106,40000000,0,7.021871,5.8,
Aliens vs Predator: Requiem,2007-12-25,94,40000000,41797066,39.381913,4.9,
Ri¢hie Ri¢h,1994-12-19,95,40000000,0,14.398356,5.4,
Music and Lyrics,2007-02-09,96,40000000,145896422,17.659032,6.2,
8MM,1999-02-26,123,40000000,96618699,25.580272,6.1,
Hanging Up,2000-02-16,94,40000000,36037909,3.415534,5,
Final Destination 5,2011-08-12,92,47000000,157887643,38.555482,5.9,
Mickey Blue Eyes,1999-08-16,102,0,0,6.786117,5.3,
Pay It Forward,2000-10-12,122,40000000,55707411,24.313684,7,
The Shadow,1994-07-01,108,25000000,48063435,8.178203,5.4,
The Art of War,2000-08-23,117,40000000,30199105,7.832337,5.6,
Rent,2005-11-23,135,40000000,31670620,10.433667,6.7,
Bless the Child,2000-08-11,107,40000000,0,3.321949,4.9,
The Out-of-Towners,1999-04-02,90,75000000,29000000,4.842626,5,
The Island of Dr. Moreau,1996-08-23,96,40000000,49627779,13.210898,4.6,
The Reaping,2007-04-05,99,40000000,62771059,13.445697,5.4,
Renaissance Man,1994-06-03,128,40000000,24332324,4.516953,5.9,
City By The Sea,2002-09-06,108,40000000,22433915,3.476966,5.7,
At First Sight,1999-01-15,128,0,0,5.778724,5.9,
Torque,2004-01-16,84,40000000,46546197,7.360793,4.7,
Marie Antoinette,2006-05-24,123,40000000,60474340,22.364549,6.5,
The Impossible,2012-09-09,113,42000000,180274123,47.559928,7,
Fantastic Mr. Fox,2009-10-23,87,40000000,46471023,41.258956,7.5,
Memoirs of an Invisible Man,1992-02-28,99,40000000,14358033,7.222985,5.7,
Amélie,2001-04-25,122,10000000,173921954,73.720244,7.8,
New York Minute,2004-05-01,91,0,0,10.0403,5.5,
Big Miracle,2012-02-02,107,40000000,24719215,8.303696,6.6,
FearDotCom,2002-08-09,101,40000000,18902015,6.756886,3.2,
Sunshine,2007-04-05,107,50000000,32017803,51.502884,7,
Delgo,2008-12-12,94,40000000,0,4.238482,5.4,
The Gunman,2015-02-16,115,40000000,13644292,26.935458,5.5,
The Hudsucker Proxy,1994-03-11,111,30000000,0,14.188982,7.1,
The Warlords,2007-12-12,126,40000000,0,6.884467,6.3,
Nomad: The Warrior,2005-07-17,112,,0,8.212018,4.3,
A Monster in Paris,2011-10-12,90,,0,17.375562,6.5,
The Crow,1994-05-11,102,,94000000,44.690107,7.3,
Baahubali: The Beginning,2015-07-10,159,,100000000,16.254032,7.5,
Frankenweenie,2012-10-04,87,,35287788,27.908783,6.6,
Serenity,2005-08-25,119,,38869464,45.388937,7.4,
Grudge Match,2013-12-25,113,,44907260,21.362949,6,
Red Cliff,2008-07-10,150,,127814609,14.8375,7.1,
The Ugly Truth,2009-07-24,96,,205298907,22.332927,6.4,
Sgt. Bilko,1996-03-29,90,,0,5.417787,5.5,
Spy Kids 2: The Island of Lost Dreams,2002-08-07,100,,119723358,24.085144,5.3,
Star Trek: Generations,1994-11-17,118,,120000000,14.779041,6.4,
The Grandmaster,2013-01-08,130,,64076736,19.947265,6.3,
Water for Elephants,2011-03-15,120,,114156230,16.801218,6.7,
Heartbreakers,2001-03-23,123,,0,13.932203,5.7,
Angel Eyes,2001-05-15,102,,29700000,6.454634,5.6,
The Ninth Gate,1999-08-24,133,,58401898,30.359164,6.3,
Rock Star,2001-09-04,105,,16991902,11.60815,6,
Precious,2009-11-06,110,,47536959,18.664624,6.9,
White Squall,1996-02-02,129,,10300000,10.047579,6.3,
Riddick,2013-09-02,119,,98337295,46.630062,6.2,
Switchback,1997-10-31,118,,6482195,4.131546,5.8,
The Master,2012-09-07,137,,28258060,25.682509,7,
The Express,2008-10-10,130,,9793496,3.87823,7.1,
The 5th Wave,2016-01-14,112,,109906372,57.889964,5.6,
Creed,2015-11-25,133,,173567581,57.773583,7.3,
What to Expect When You're Expecting,2012-05-17,110,,79700000,27.009723,5.8,
Magnolia,1999-12-08,188,,48451803,30.993736,7.5,
How to Be Single,2016-01-21,110,,112343513,46.078371,5.9,
Twilight,2008-11-20,122,,392616625,127.084938,5.8,
Blue Streak,1999-09-17,93,,117758500,16.865782,6.1,
We're the Millers,2013-08-07,110,,269994119,100.348805,6.8,
The Inhabited Island,2008-12-18,115,,21834845,2.785832,5.3,
Breakdown,1997-05-02,95,,50159144,9.176339,6.6,
Hot Tub Time Machine,2010-03-26,101,,64572262,33.926473,6,
Dolphin Tale 2,2014-09-12,107,,52424533,6.967857,6.7,
Ghosts of Mississippi,1996-12-20,130,,0,8.102925,6.2,
Snow Falling on Cedars,1999-12-22,127,,0,2.79483,6.3,
The Rite,2011-01-28,114,,96047633,11.492474,5.8,
Gattaca,1997-09-07,106,,12532777,70.398356,7.5,
Isn't She Great,2000-01-28,95,,3003296,1.068453,4.6,
Head of State,2003-01-01,95,,0,3.457194,5.3,
The Hangover,2009-06-05,100,,459270619,82.21166,7.2,
Ip Man 3,2015-12-19,105,,156844753,19.167377,6.5,
Austin Powers: The Spy Who Shagged Me,1999-06-08,95,,310940086,18.316151,6.2,
There Be Dragons,2011-03-25,112,,0,6.668679,5.9,
Horrible Bosses,2011-07-08,98,,117000000,50.309843,6.5,
The Devil Wears Prada,2006-06-30,109,,326551094,83.893257,7,
Star Trek: The Motion Picture,1979-12-06,132,,139000000,24.616634,6.2,
21,2008-03-27,123,,69823199,45.149948,6.5,
Trainwreck,2015-07-17,125,,140795793,72.774941,5.9,
The English Patient,1996-11-14,162,,231976425,29.381878,7,
Sky High,2005-07-29,100,,86369815,11.041659,5.8,
Species,1995-07-07,108,,113374103,23.607071,5.5,
Friends with Benefits,2011-07-21,109,35000000,150483765,40.526587,6.5,
Neighbors 2: Sorority Rising,2016-05-04,91,35000000,108758521,50.179171,5.6,
Malcolm X,1992-11-18,202,34000000,48169908,19.822791,7.2,
This Is 40,2012-12-20,134,35000000,88058786,38.429648,5.6,
Underworld: Rise of the Lycans,2009-01-22,92,35000000,91353501,51.927471,6.2,
The Benchwarmers,2006-04-07,80,0,0,6.74556,5.2,
Must Love Dogs,2005-07-21,98,30000000,58405313,11.120167,5.8,
Poltergeist,1982-06-04,114,10700000,122200000,36.230204,7,
In Time,2011-10-27,109,40000000,173930596,60.231382,6.7,
Something Borrowed,2011-05-05,112,35000000,59901913,14.029012,5.9,
Black Knight,2001-11-21,95,0,0,15.913783,5.1,
The Pianist,2002-09-24,150,35000000,120072577,50.587541,8,
The Nativity Story,2006-12-01,101,35000000,0,3.721272,6.4,
House of Wax,2005-04-30,113,40000000,68766121,17.157738,5.5,
Closer,2004-12-01,104,27000000,115505027,22.636908,6.7,
J. Edgar,2011-11-09,137,35000000,84606030,28.069419,6,
Queen of the Damned,2002-02-10,101,35000000,45479110,11.644243,5.4,
Untraceable,2008-01-22,101,35000000,32483410,12.677505,5.9,
Blast from the Past,1999-02-12,112,35000000,40263020,8.737058,6.3,
Jersey Girl,2004-03-25,102,35000000,36098382,14.699342,5.8,
Alex Cross,2012-10-18,101,45000000,30353232,14.513243,5.1,
Midnight in the Garden of Good and Evil,1997-11-21,155,35000000,25105255,5.525544,6.3,
Heist,2015-11-13,93,8900000,4100000,15.079993,5.6,
Nanny McPhee and the Big Bang,2010-03-26,109,35000000,93246388,23.835055,6,
The X Files: I Want to Believe,2008-07-24,104,30000000,68369434,25.454549,5.5,
Concussion,2015-11-12,123,35000000,50363790,35.120736,7,
Abduction,2011-09-22,106,35000000,82087155,19.893646,5.6,
Superhero Movie,2008-03-27,85,35000000,25871834,19.088655,4.9,
Broken City,2013-01-18,109,56000000,19701164,29.490057,5.7,
Premium Rush,2012-08-24,91,35000000,31083599,17.709888,6.2,
Hot Pursuit,2015-05-08,87,35000000,51680201,18.262017,5.4,
The Four Feathers,2002-09-08,132,35000000,29882645,10.10364,6.5,
Parker,2013-01-23,118,35000000,46216641,28.670477,5.7,
Wimbledon,2004-09-13,98,31000000,41512007,16.736734,6,
Flight of the Intruder,1991-01-18,115,35000000,0,6.81729,5.7,
American Outlaws,2001-08-17,94,35000000,13678913,6.727949,5.7,
The Tree of Life,2011-05-18,139,32000000,54674226,43.862456,6.5,
Sabotage,2014-03-28,110,35000000,17508518,27.903999,5.5,
Punisher: War Zone,2008-12-05,102,20500000,10089373,17.112498,5.6,
The Walk,2015-09-30,123,35000000,61181942,37.335721,6.9,
A Good Year,2006-09-09,118,35000000,42064105,16.782471,6.5,
Bound by Honor,1993-02-05,180,35000000,0,9.122828,7.7,
The Horseman on the Roof,1995-09-20,135,35000000,15000000,2.877488,6.7,
Ride with the Devil,1999-11-24,138,38000000,635096,5.516207,6.6,
Bandidas,2006-01-18,93,35000000,10496317,20.27704,5.8,
Black Water Transit,2009-05-13,100,0,0,0.126738,0,
The Age of Innocence,1993-09-17,139,34000000,32255440,9.133747,7,
The Fountain,2006-09-06,96,35000000,15304890,24.606012,6.8,
Stolen,2012-05-17,96,35000000,2106557,16.830184,5.1,
Ponyo,2008-07-19,100,41677699,187479518,39.58676,7.5,
The Astronaut's Wife,1999-08-26,109,75000000,19598588,20.697556,5.4,
I Dreamed of Africa,2000-05-05,114,34000000,0,1.656695,5.3,
Mandela: Long Walk to Freedom,2013-12-06,141,35000000,27330000,15.50957,6.5,
Reds,1981-12-25,195,32000000,40382659,4.602185,7.1,
A Few Good Men,1992-12-11,138,40000000,243240178,40.379966,7.1,
Big Momma's House,2000-05-31,98,30000000,173959438,24.389194,5.6,
The Darkest Hour,2011-12-22,89,30000000,64626786,23.328823,4.8,
Step Up Revolution,2012-07-26,99,33000000,140470746,29.775441,6.7,
Snakes on a Plane,2006-08-06,105,33000000,62022014,19.642328,5.1,
The Watcher,2000-09-08,96,33000000,0,7.339908,4.9,
Goal!: The Dream Begins,2005-06-06,118,30000000,27610873,16.541791,6.6,
Return of the Jedi,1983-05-23,135,32350000,572700000,46.509071,7.9,
Wanderlust,2012-02-23,98,35000000,24159934,20.908494,5.3,
Nacho Libre,2006-06-16,92,32000000,80197993,14.642055,5.6,
This Is the End,2013-06-12,107,32000000,126041322,38.21708,6.3,
Men of Honor,2000-09-13,129,32000000,48814909,24.147269,7,
Takers,2010-08-26,107,32000000,69055695,18.47242,6,
The Big Wedding,2013-04-25,90,35000000,21819348,18.84332,5.7,
Alive,1993-01-15,120,32000000,36733909,14.48851,6.7,
The Number 23,2007-02-23,101,30000000,77566815,23.197408,6.3,
Laws of Attraction,2004-04-04,90,28000000,30016165,6.201404,5.6,
Dragon Wars: D-War,2007-02-08,90,70000000,53587404,4.822033,4,
Bogus,1996-09-06,110,32000000,0,3.379454,5.4,
The Incredible Burt Wonderstone,2013-03-14,100,30000000,27437881,26.9385,5.3,
Cats Don't Dance,1997-03-26,75,32000000,3566637,4.098444,7.1,
Apocalypse Now,1979-08-15,153,31500000,89460381,49.973462,8,
Mr. Holland's Opus,1995-12-29,137,0,106269971,6.775294,6.9,
Criminal,2016-04-14,113,31500000,14708696,27.891012,5.7,
Flight,2012-11-02,138,31000000,161772375,42.213765,6.5,
The Grand Budapest Hotel,2014-02-26,99,30000000,174600318,74.417456,8,
Hearts in Atlantis,2001-09-07,101,31000000,24185781,7.06762,6.4,
Frequency,2000-04-28,118,31000000,68106245,19.258041,7,
Chicago,2002-12-26,113,45000000,306776732,32.217425,6.9,
Big Daddy,1999-06-25,93,34200000,234801895,34.86859,6.1,
Speed,1994-06-09,116,30000000,350448145,49.526736,6.8,
Extraordinary Measures,2010-01-21,105,31000000,15134293,6.487344,6,
Remember the Titans,2000-09-29,113,30000000,136706683,25.996219,7.4,
The Butler,2013-08-16,132,25000000,115922175,32.105328,7.2,
The Addams Family,1991-11-22,99,30000000,191502426,37.179547,6.7,
The Princess Diaries,2001-08-03,115,37000000,165335153,40.176265,6.5,
Se7en,1995-09-22,127,33000000,327311859,79.579532,8.1,5765
District 9,2009-08-05,112,30000000,210819611,63.13678,7.3,3382
The SpongeBob SquarePants Movie,2004-11-14,87,30000000,140161792,27.870755,6.7,574
Mystic River,2003-10-07,138,25000000,156822020,31.242999,7.6,1422
Million Dollar Baby,2004-12-15,132,30000000,216763646,70.456012,7.7,2439
Analyze This,1999-03-05,103,80000000,176885658,29.415229,6.4,503
The Notebook,2004-06-25,123,29000000,115603229,55.109138,7.7,3067
Rugrats in Paris: The Movie,2000-09-14,78,30,103,4.590277,6,100
The Prince of Tides,1991-12-25,132,30000000,74787599,3.845231,5.9,56
Legends of the Fall,1994-12-16,133,30000000,160638883,26.952727,7.2,619
About Schmidt,2002-12-13,125,30000000,105834556,19.925026,6.7,362
Forgetting Sarah Marshall,2008-04-17,111,30000000,105173115,50.670253,6.4,1172
Four Brothers,2005-08-11,109,45000000,92374674,24.694551,6.7,607
Bride Wars,2009-01-09,89,30000000,114663461,33.385429,5.9,856
Without a Paddle,2004-08-20,95,19000000,69631118,8.584398,5.3,214
Midnight in Paris,2011-05-11,94,30000000,151119219,43.753585,7.4,1990
Blow,2001-04-04,124,53000000,83282296,28.350529,7.4,1317
Star Trek V: The Final Frontier,1989-06-09,107,30000000,70200000,19.578249,5.6,376
Like Mike,2002-07-03,99,30000000,0,5.73667,5.7,100
The Naked Gun 33⅓: The Final Insult,1994-03-18,83,30000000,51132598,28.624038,6.3,521
A View to a Kill,1985-05-24,131,30000000,152427960,27.230493,6,506
The Curse of the Were-Rabbit,2005-09-04,85,30000000,192452832,30.380747,6.8,643
P.S. I Love You,2007-11-15,126,30000000,156835339,29.489274,6.9,977
Racing Stripes,2005-01-06,102,30000000,93772522,8.058109,5.1,123
Letters to Juliet,2010-05-14,105,30000000,0,16.52083,6.6,796
Corpse Bride,2005-09-09,77,40000000,117195061,43.571612,7.2,1894
Glory Road,2006-01-13,118,0,42647449,8.305085,7.2,144
Sicario,2015-09-17,121,30000000,84025816,55.424027,7.2,2416
Southpaw,2015-06-15,123,30000000,91709827,65.364452,7.3,2067
